team,offensive_plays,passes_completed,passes_attempted,passing_yards,passing_touchdowns,passing_interceptions,net_yards_per_pass_attempt,passing_1st_downs,offensive_plays_y,rushing_yards,rushing_touchdowns,rushing_attempts,rushing_yards_per_attempt,rushing_1st_downs
Arizona Cardinals,2984,1161,1775,9624,49,26,35.8,529,2984,4889,38,1113,30.699999999999996,320
Atlanta Falcons,2455,590,966,6884,43,31,45.800000000000004,373,2455,6785,54,1393,34.3,378
Baltimore Ravens,2485,768,1224,8436,90,35,46.4,405,2485,6563,34,1176,38.9,378
Buffalo Bills,2590,1034,1578,12162,105,31,51.4,600,2590,4649,22,944,34.3,271
Carolina Panthers,2292,706,1245,7420,37,32,37.8,307,2292,4268,29,929,32.0,222
Chicago Bears,2406,450,799,4975,33,35,35.6,239,2406,7614,44,1449,36.6,371
Cincinnati Bengals,2848,1095,1617,10927,85,35,42.2,591,2848,3791,26,1072,24.2,225
Cleveland Browns,2795,842,1331,8691,39,28,43.0,463,2795,7094,74,1395,35.7,420
Dallas Cowboys,2442,738,1251,7789,37,21,41.2,399,2442,5018,37,1127,30.9,256
Denver Broncos,2603,816,1397,9128,32,22,42.1,405,2603,4515,20,1080,29.4,212
Detroit Lions,2476,850,1377,9661,77,32,46.800000000000004,494,2476,5584,51,1038,38.1,243
Green Bay Packers,2659,997,1486,9418,65,25,42.4,478,2659,5207,20,1080,33.699999999999996,301
Houston Texans,2240,801,1284,7500,43,33,38.1,339,2240,3687,18,866,29.500000000000004,211
Indianapolis Colts,2848,1133,1685,10387,48,51,39.599999999999994,581,2848,3672,13,1009,25.5,216
Jacksonville Jaguars,2698,937,1463,9554,61,27,44.400000000000006,531,2698,5644,43,1177,32.6,295
Kansas City Chiefs,2576,1019,1543,11543,112,25,50.2,651,2576,4287,36,967,31.0,221
Las Vegas Raiders,2332,869,1396,8999,57,30,42.6,479,2332,4368,26,845,35.8,255
Los Angeles Chargers,2732,1137,1717,11369,73,22,46.10000000000001,542,2732,3457,30,966,24.0,199
Los Angeles Rams,2402,1016,1447,9007,40,50,39.9,518,2402,2675,31,813,23.2,155
Miami Dolphins,2498,993,1508,12029,82,39,53.0,578,2498,3455,27,904,26.299999999999997,196
Minnesota Vikings,2482,990,1510,9470,60,33,41.9,550,2482,3962,45,901,31.000000000000004,234
New England Patriots,2525,838,1230,9022,39,51,48.5,422,2525,5237,49,1209,30.6,298
New Orleans Saints,2693,954,1481,10433,65,50,45.9,489,2693,5673,47,1110,36.0,300
New York Giants,2612,739,1135,6414,32,20,34.9,346,2612,6949,50,1346,36.7,394
New York Jets,2784,974,1676,9960,52,39,39.1,516,2784,4484,43,1006,30.9,201
Philadelphia Eagles,2713,809,1203,9791,46,13,53.49999999999999,471,2713,6021,84,1413,30.0,383
Pittsburgh Steelers,2529,936,1469,8278,27,47,37.199999999999996,468,2529,3755,26,966,27.3,222
San Francisco 49ers,2470,755,1233,9007,50,28,47.300000000000004,406,2470,5189,39,1157,31.4,294
Seattle Seahawks,2425,983,1333,9655,67,25,47.50000000000001,479,2425,5249,37,1001,36.0,266
Tampa Bay Buccaneers,2704,1162,1746,11057,51,7,42.6,574,2704,2746,13,892,21.7,170
Tennessee Titans,2133,590,935,6236,38,23,43.599999999999994,335,2133,4475,43,1112,27.4,218
Washington Commanders,2839,1018,1629,9598,75,44,37.5,497,2839,4226,20,1056,27.9,254
